Ant is Monster,ant,ant.bgf
Avar is Monster,avar,avwar.bgf
AvarChieftain is Monster,avar chieftain,avchief.bgf
AvarChieftain is Monster,avar leader of the bone faction,avchief.bgf
AvarShaman is Monster,avar shaman,avsham.bgf
SpiderBaby is Monster,baby spider,spdrby.bgf
battered skeleton,battered skeleton,skelbody.bgf|skelhed3.bgf
DeathSpider is Monster,black spider,spidmagc.bgf
OrcPitBossBody is Monster,body of the orc pit boss,OrcPitbX.bgf
AvarShaman is Monster,bone faction shaman,avsham.bgf
CaveOrc is Monster,cave orc,OrcCave.bgf
Centipede is Monster,centipede,centip.bgf
Avar is Monster,chyup-tewee faction warrior,avwar.bgf
Council is Monster,Councilor,hermit.bgf
Cow is Monster,cow,cow.bgf
daemon skeleton,daemon skeleton,skelbody.bgf|skelhed4.bgf
DarkAngel is Monster,dark angel,angel.bgf
EvilEnt is Monster,diseased tree,res0003a.bgf
DragonFly is Monster,dragonfly,dfly.bgf
DragonFlyQueen is Monster,dragonfly queen,dflo.bgf
DuskRat is Monster,dusk rat,rat.bgf
EvilTwin is Monster,evil twin,btg.bgf|bfg.bgf|blg.bgf|brg.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
FactionTroop is Monster,faction troop,bta.bgf|bfa.bgf|bla.bgf|bra.bgf|phax.bgf|peax.bgf|pmax.bgf|pnax.bgf|ptac.bgf
EvilFairy is Monster,fey dirhai,faerie-e.bgf
Fairy is Monster,fey elhai,faerie-g.bgf
AvarChieftain is Monster,former avar chieftain,avchief.bgf
Frogman is Monster,frogman,frogman.bgf
FungusBeast is Monster,fungus beast,fungbst.bgf
Ghost is Monster,ghost of Far'Nohl,ghost.bgf
GiantRat is Monster,giant rat,rat.bgf
Scorpion is Monster,giant scorpion,scorp.bgf
GroundWorm is Monster,groundworm,wormm.bgf
groundworm larva,groundworm larva,worms.bgf
groundworm queen,groundworm queen,worml.bgf
Guard is Monster,guard cow,cow.bgf
StoneTroll is Monster,Guardian of Zjiria,Troll.bgf
OrcPitBossBody is Monster,headless orc pit boss body,OrcPitbX.bgf
flytrap is Monster,hedged man-eating plant,ent.bgf
Iceperson is Monster,ice creature,iceper_feet.bgf|iceper_torso.bgf|iceper_rightarm.bgf|iceper_sword.bgf
Kriipa is Monster,kriipa,kriipa.bgf
AvarChieftain is Monster,kyip-kyip-kreeet avar chieftain,avchief.bgf
