level,en_name,ko_catan,description
25,baby spider,imixkinich,"Smaller and weaker than his larger kin, this baby spider"
25,mummy,napleoc,This evil being has been brought to life by dark magics of unknown origin.
30,centipede,puuckinich,Bright red plates make up the exoskeleton of this
30,giant rat,napyijoa,The giant rat bares its yellow teeth in defiance.  A
30,shadow mummy,teotnapleoc,This evil being has been brought to life by dark magics of unknown origin.
35,groundworm larva,imixslithic,"A younger form of its mature relatives, the larva is a bit weaker than"
35,slime,kinachot,"A mass of quivering goo, the slime inches forward"
40,ant,yokinich,"Snapping pincers, bloody from the ant's last meal, lash"
40,spectral mummy,kosnapleoc,This poor creature was once a person who was mummified in an ancient ritual and put
45,orc,utomca,"This foul servant of Qor, body covered in filth, towers"
50,diseased tree,teotezmecya,"Feeding upon the dredges of the tainted soil in the land, this"
50,dusk rat,teotnapyijoa,The air around the rat is dark and thick with evil.  The smell of death
50,fungus beast,puucmecmoch,"This strange creature, made up of tender, pulpy flesh,"
50,living tree,tezmecya,A primordial spirit flows through the dark branches of
50,rebel soldier,moch,This soldier proudly bears the colors of the Jasper militia.
50,soldier of the Duke's army,moch,This soldier proudly bears the colors of the Duke.
50,soldier of the Princess' army,moch,This soldier proudly bears the colors of the Princess.
50,spider,teotkauilkinich,This strangely delicate creature moves with stealth and strikes with deadly precision.
55,giant scorpion,kinkauikinich,The scorpion's deadly stinger rises high in the air
55,zombie,ixleoc,Unfettered evil has brought the dead back to life in the
60,battered skeleton,cha'oleoc,A few scraps of rotten flesh cling to this collection of human
60,necromancer,moch,"Transfixed under the unearthly stare of this foul being, your mind skitters"
60,snow rat,shonapyijoa,This is the ice-born cousin of the mainland vermin.  It is
65,mutant ant,kawilkinich,The exoskeleton of the mutant ant is thick and hard and
75,black spider,na'arkinich,"Once thought to be a creature made up to frighten children, the black spider"
75,skeleton,chaleoc,A few scraps of rotten flesh cling to this collection of
80,cave orc,utom,This dirty orc grunt wanders through the caves hungrily in search
80,orc wizard,utomya,"Harnessing dark powers from deep underground, the Orc Wizards"
90,troll,humoch,"Covered with knots of lumpy flesh, the troll has"
100,guard cow,tanahyijoa,"This is the vicious guardcow, which punishes all wrongdoers."
100,peet-seeeep avar shaman,avarya,This is a shaman of the Peet-Seeeep clan.
100,tusked skeleton,ha'chaleoc,A few scraps of rotten flesh cling to this collection of human
105,lupogg,tez,"This underwater denizen, although hideous and brutish, is rumored to be"
115,orc pit boss,koutom,"In order to gain the ominous title and station of Pit Boss,"
120,narthyl worm,tepna'arthyl,"In spite of its otherworldy hideousness, the narthyl worm's lithe movements are"
120,peet-seeeep avar warrior,avar,"Fierce warriors, these flightless bird men demand caution as you"
130,daemon skeleton,kochaleoc,The sight alone of this abomination of nature is often enough to
130,groundworm queen,koslithic,"The largest of the groundworms, the queen is a feared monster."
135,peet-seeeep avar chieftain,koavar,"Known for their noble grace, the Peet-Seeeep tribe"
150,mollusk creature,kolisith,"A recent arrival to the lands, this giant creature is rather"
150,thrasher,teotixleoc,The powerful smell of rotted flesh and embalming herbs assault your
150,ve'xeochicatl,ve'xeo'chicatl,"Before you is a ve'xeochicatl, a fearsome monster given life by the chaotic"
165,queen spider,kokinich,"The huge egg sac of the queen spider makes her slow and heavy, but"
170,ro'xeochicatl,ro'xeo'chicatl,"Before you is a ro'xeochicatl, a fearsome monster given life by the chaotic"
190,ma'xeochicatl,ma'xeo'chicatl,"Before you is a ma'xeochicatl, a fearsome monster given life by the chaotic"
200,cow,nahyijoa,Alchemists and farmers endeavored to breed the perfect cow for sweet
200,ghost of Far'Nohl,far'nohl kotezleoc,Rags and rotten flesh hang on the bones of this magical
200,shadowbeast,teotkriipa,A magical abomination that hybrids the jungle kriipa with some quasi-substantial
200,te'xeochicatl,te'xeo'chicatl,"Before you is a te'xeochicatl, a fearsome monster given life by the chaotic"
