Spell Name,School,Level,Mana,Cast Time (s),Trance?,Reagents Required,Description
create food,Kraanan,1,10,0.5,Yes,"2 Elder Berry, 2 Herbs",The power of Kraanan is summoned to materialize various nourishing foods. Requires elderberries and herbs to cast.
create weapon,Kraanan,1,15,0.5,Yes,None,Materializes a weapon.  Requires nothing but a violent will.
glow,Kraanan,1,15,0,No,"2 Elder Berry, 2 Mushroom",Enchants a weapon to glow like a torch. Requires elderberries and mushrooms to cast.
relay,Kraanan,1,5,0,No,1 Snack,The might of Kraanan allows you to give part of your vigor to another person. Requires an edible mushroom to cast.
bless,Kraanan,2,6,0,No,"2 Mushroom, 2 Sapphire","Invokes Kraanan's blessing, increasing the accuracy and damage of attacks. Requires mushrooms and sapphires to cast."
enchant weapon,Kraanan,2,17,30,Yes,"3 Elderberry, 1 orctooth","Dedicates your weapon to Kraanan. Requires plenty of elderberry, some orc teeth, and time."
haste,Kraanan,2,10,2,Yes,5 Snack,Reduces the fatigue of running at full clip. Requires edible mushrooms to cast.
resist poison,Kraanan,2,10,2,Yes,None,"Stabilizes your immune system, protecting you from some poisons. Requires herbs and red mushrooms."
super strength,Kraanan,2,10,0,No,"2 Mushroom, 1 Orc Tooth",Infuses your body with superhuman strength. Requires mushrooms and orc teeth to cast.
detect invisible,Kraanan,3,15,3,Yes,None,Allows you to see those whom others cannot.  Requires solagh.
free action,Kraanan,3,10,2,Yes,"1 Red Mushroom, 1 Purple Mushroom","Kraanan's love of battle helps repel magic which might hinder your movements, and thus the liberal dispensation of lusty blows. Requires red mushrooms and purple mushrooms to cast."
magic shield,Kraanan,3,9,0,No,"2 Mushroom, 1 Red Mushroom",Summons a shield of powerful magical energy that will deflect some of the blows aimed at you for several minutes. Requires mushrooms and red mushrooms to cast.
martyr's battleground,Kraanan,3,10,0,No,"1 Elder Berry, 1 Mushroom","Calls the attention of the gods to the area, increasing the likelihood they will give those who die here a chance at vengeance with a revenant. Requires elderberry and mushroom to cast."
night vision,Kraanan,3,6,0,No,3 Elder Berry,Magically enhances the vision of the target. Requires elderberry to cast.
shroud,Kraanan,3,10,30,Yes,"3 Mushroom, 3 Elderberry, 2 Herbs","Used to protect a warrior's tools against polluting magics.  Requires mushrooms, elderberries, and herbs to cast."
deflect,Kraanan,4,20,3,Yes,"1 Solagh, 1 Kriipa Claw","Calls upon Kraanan's will to form a protective barrier around the target which protects them from direct damaging attack magics, but not from other magics, such as enchantments. Requires solagh and kriipa claws to cast."
discordance,Kraanan,4,8,1,Yes,2 Sapphire,Magical energy is unleashed which tries to destroy magical enchantments on the room. Requires sapphires to cast.
dispel illusion,Kraanan,4,20,0,No,"1 Dragonfly Eye, 1 Uncut Seraphym, 2 Solagh","Attempts to dispel any illusions in your vicinity.  This powerful spell is the bane of the Riija school of magic, but at a significant cost in reagents. Requires dragonfly eyes, uncut seraphym, and solagh to cast."
eagle eyes,Kraanan,4,5,2,Yes,None,"Bestows a supernatural acuity of vision on the caster, protecting against spells that attack sight and improving accuracy at long range. Requires mushrooms and purple mushrooms."
mana bomb,Kraanan,4,0,0,No,2 Sapphire,Initiates a white hot explosion which burns all of the caster's mana and consumes half of that amount from all others in the room. Requires sapphires to cast.
mend,Kraanan,4,9,0,No,"1 Sapphire, 1 Orc Tooth","Erases the wear of battle from a piece of equipment, restoring it to near new condition. Requires orc teeth and sapphire to cast."
armor of Gort,Kraanan,5,10,0,No,2 Blue Dragon Scale,Surrounds the caster with a powerful field which deflects damage from extreme blows. Requires blue dragon scale to cast.
hunt,Kraanan,5,50,10,Yes,4 Kriipa Claw,"Allows the casters to use a prism to focus on a player's trail and track him or her for a limited time.  The hunted player's name must be spoken during the initial trance.  When the enchantment is completed, for the duration of the spell the hunters will receive periodic notification of the hunted player's whereabouts. Requires all of the claws from one kriipa paw, and the casters' mystical energies must be focused through a prism."
killing fields,Kraanan,5,9,0,No,"3 Elderberry, 1 Orc Tooth","Induces magical blood-lust, increasing the damage of all attacks in the area. Requires elderberries and orc teeth to cast."
resist magic,Kraanan,5,15,0,No,1 Blue Dragon Scale,The war god fortifies you against magic attacks. Requires blue dragon scale to cast.
anti-magic aura,Kraanan,6,15,0.6,Yes,"2 Sapphire, 1 Polished Seraphym",Sends a shock wave of magical energy coursing through the room which reduces the spellpower of other spells cast for several minutes. More powerful mages are more effective at casting this spell. Requires sapphires and polished seraphym to cast.
shatterlock,Kraanan,6,50,20,Yes,4 Kriipa Claw,"Penetrates the locks of a guild hall (note that it won't open other kinds of doors elsewhere).  Requires Kriipa Claws to cast, and the casters' energies must be focused through a prism."
fog,Faren,1,6,2,Yes,1 Elderberry,Creates a cloud of fog that is often mistaken for poisonous fog. Requires elderberries to cast.
light,Faren,1,5,0,No,1 Elder Berry,Magical illumination fills the area where the spell is cast. Requires elderberry to cast.
mystic touch,Faren,1,3,0,No,1 Mushroom,Draws upon the magic of Faren to transfer magical energy from caster to target. Requires mushrooms to cast.
sweep,Faren,1,8,10,Yes,2 Mushroom,The wild winds of Faren sweep through the area gathering loose items for you. Requires mushrooms to cast.
zap,Faren,1,6,0,No,None,Channels natural electrical energy into a powerful charge transmitted with a touch. Requires blue mushrooms to cast.
bramble wall,Faren,2,10,4,Yes,"3 Elderberry, 1 Yrxlsap","Creates a thicket of thorny, twisted bramble.  Such a wall would be painful to pass, though it might not harm one who remained motionless. Requires elderberries and yrxl sap to cast."
icy fingers,Faren,2,6,0,No,None,"Coats your fingers with ice which can freeze a patch of flesh on your target, painfully destroying the outer layer of tissue. Requires a red mushroom."
resist cold,Faren,2,9,0,No,"3 Mushroom, 1 Red Mushroom","Infuses the target with the magical fire of Faren, reducing damage from cold attacks for several minutes. Requires mushrooms and red mushrooms to cast."
touch of flame,Faren,2,9,0,No,None,Boils the innards of the target with a white hot flame. Requires red mushrooms to cast.
withstand fire,Faren,2,4,0,No,"3 Mushroom, 1 Red Mushroom",Infuses your body with cool magical energy which reduces damage from fire attacks for several minutes. Requires mushrooms and red mushrooms.
heat,Faren,3,8,0,No,"1 Red Mushroom, 1 Fire Sand","Fills the room with the earth magic of Faren, heating all armor to a primordial molten state and searing the flesh of those who wear it. Requires red mushroom and firesand to cast."
mana focus,Faren,3,1,7,Yes,None,"Focuses your magical energy, regenerating your mana at an accelerated rate and increasing the damage of natural elemental attack spells. Dissipates if your concentration is broken. Requires mushrooms to cast."
resist shock,Faren,3,6,0,No,"3 Mushroom, 1 Blue Mushroom",The grizzled nature god gives the target some relief from shock attacks. Requires mushrooms and blue mushrooms to cast.
shocking fury,Faren,3,8,0,No,"2 Blue Mushroom, 1 Elderberry",Releases Faren's fury as a large amount of electricity directed at a target at short range. Requires blue mushrooms and elderberries to cast.
spider web,Faren,3,15,3,Yes,1 Web Moss,The spider webs created by this spell may hamper the ability of those who stumble upon them to move. Requires web moss to cast.
winds,Faren,3,10,0,No,"3 Elderberry, 1 Purple Mushroom",Summons powerful winds which render ranged attacks more difficult for several minutes. Requires elderberries and purple mushrooms to cast.
blast of fire,Faren,4,8,0,No,"2 Red Mushroom, 1 Elderberry",Releases Faren's anger as a blast of flame directed at a target at short range. Requires red mushrooms and elderberries to cast.
brittle,Faren,4,8,0,No,"3 Mushroom, 2 Purple Mushroom","Ages the target's weapon by many years, making it frail and prone to breaking. Requires magic mushrooms and purple mushrooms to cast."
explosive frost,Faren,4,8,0,No,1 Elderberry,Creates a small exploision of frost which damages a target at short range. Requires red mushrooms and elderberries to cast.
fireball,Faren,4,7,0,No,"2 Red Mushroom, 1 Orc Tooth",Sends a ball of flames at the target. Requires red mushrooms and orc teeth to cast.
firewall,Faren,4,15,1,Yes,"3 Red Mushroom, 2 Firesand",Creates a wall of fire in front of the caster. Requires red mushrooms and firesand to cast.
earthquake,Faren,5,12,5,Yes,"2 Red Mushroom, 2 Purple Mushroom","Moves the earth violently causing damage to all beings in the room. The more experienced the caster, the better damage is directed to the target and away from the caster. Requires red mushrooms and purple mushrooms to cast."
lightning bolt,Faren,5,10,0,No,"2 Blue Mushroom, 1 Orc Tooth",Hurls a bolt of lightning at the target. Requires blue mushrooms and orc teeth to cast.
ring of flames,Faren,5,15,1,Yes,"3 Red Mushroom, 3 Firesand",Creates a ring of flames around target. Requires red mushrooms and firesand to cast.
sandstorm,Faren,5,14,0,No,2 Orc Tooth,"All the dust in the room is swept up into a swirling storm, making it harder and more strenuous to move and fight. Also has a small chance to knock arrows out of the air. Requires orc teeth to cast."
shatter,Faren,5,12,6,Yes,"3 Red Mushroom, 3 Purple Mushroom",The icy magic of Faren shatters one or more items in the inventory of the target. Requires red and purple mushrooms to cast."
lightning wall,Faren,6,20,1,Yes,"3 Blue Mushroom, 1 Yrxlsap",Creates a crackling barrier of electricity.  One who entered such a field would certainly feel more than thunder. Requires blue mushrooms and yxrl to cast.
spore burst,Faren,6,20,5,Yes,"2 Purple Mushroom, 1 Shaman Blood",Summons forth noxious clouds that paralyze any within it's bounds. Requires potent reagents specific to both Qor and Faren.
cloak,Qor,1,5,2,Yes,2 Entroot Berry,"Qor shrouds your astral body in shifting shadows, allowing you to elude magical tracking. Requires entroot berries to cast."
darkness,Qor,1,8,0,No,"1 Fairy Wing, 1 Entroot Berry","Draws a curtain of darkness over a room, making it more amenable to followers of the Vile One. Requires fairy wings and entroot berries to cast."
detect good,Qor,1,10,3,Yes,1 Fairy Wing,Allows you to see the disgustingly pure of heart.  This spell will reveal all good people and monsters that are more good than you are corrupted. Requires a fairy wing to cast.
unholy resolve,Qor,1,3,0,No,"1 Fairy Wing, 1 Solagh",Summons the vile force of Qor to protect the user from holy damage. Requires solagh and fairy wings to cast.
Kara'hol's curse,Qor,2,9,0,No,2 Entroot Berry,"Your body is possessed by the spirit of the warrior Kara'hol for a brief period, enhancing the ferocity of your attacks.  When the spirit departs, your body is temporarily paralyzed from shock. Requires the sacrifice of a few entroot berries to cast."
